junction_name,cis_mean,violation_count,lat,lon,validated_pct,predicted_stress_next_h,historical_peak_stress,spillover_centrality,recency_score,quality_bonus,priority_score,rank,patrol_stop,officer_assigned,route_km
"BTP189 - New Diagonal Road, Jayanagar",1.6566626245847176,602,12.928112280564784,77.58069761295681,0.8421926910299004,0.0594,1.0,0.008060693555066263,0.961175141694739,0.04210963455149502,0.3256,145,,,
BTP107 - National College Junction,1.1484972602739727,73,12.948955050684932,77.57294951506849,0.9178082191780822,0.3224,1.0,0.004378131881005472,0.9177420805885704,0.045890410958904115,0.3245,146,,,
BTP074 - Leprosy Hospital Junction,1.7610758357211078,1047,12.975846885138832,77.56179568138215,0.9159503342884432,0.0523,1.0,0.0034345009264042017,0.9927528263977049,0.045797516714422164,0.3189,147,,,
BTP100 - Richmond Circle,1.1284417763157895,304,12.962800310526315,77.59827016480263,0.7796052631578947,0.3656,1.0,0.0034345009264042017,0.9325363108387729,0.03898026315789474,0.3178,148,,,
"BTP117 - 9th Cross, Kanakapura Road",1.399259283387622,307,12.91214845732899,77.57334888045604,0.8762214983713354,0.0853,1.0,0.010839814579769881,0.973920171133258,0.04381107491856678,0.3166,149,,,
BTP218 - Syndicate Bank Junction,1.4983353276353277,351,12.934673374928776,77.58443592279203,0.9202279202279202,0.052,1.0,0.009119407909610295,0.9923329901338478,0.04601139601139601,0.3144,150,,,
BTP108 - Tagore Park Junction,1.4672974458634092,1801,12.943901209259396,77.57143116315804,0.8678511937812327,0.154,1.0,0.004464978745298292,0.9938224092603885,0.04339255968906164,0.312,151,,,
"BTP206 - Shankara Mutt Circle, Vijayanagar",1.698012656467316,719,12.998620176634214,77.54142142920723,0.9276773296244785,0.0667,1.0,0.0034345009264042017,0.9465708373734244,0.046383866481223925,0.3105,152,,,
"BTP022 - Marenahalli Junction, Vijayanagar",1.4237440795159897,1157,12.968779866920466,77.53673460275871,0.8798617113223854,0.0857,1.0,0.00927271165238496,0.974829816371615,0.04399308556611928,0.3101,153,,,
BTP017 - Attiguppe Circle,1.2451052132701421,422,12.960583327014218,77.52963757037915,0.9620853080568721,0.2626,1.0,0.0034345009264042017,0.8632633273023521,0.048104265402843606,0.3091,154,,,
BTP071 - Prasanna Junction,1.4861072122052705,721,12.974369503954971,77.55203424621543,0.9153952843273232,0.127,1.0,0.00430580916491049,0.9919531382760723,0.045769764216366166,0.3081,155,,,
"BTP070 - Cholurpalya Junction, Magadi Road",1.3315718749999998,2272,12.973484256997908,77.550805919489,0.920774647887324,0.115,1.0,0.008224284325051727,0.994991953138276,0.046038732394366205,0.3053,156,,,
BTP069 - MC Circle,1.4627995348837208,1075,12.974620575358045,77.54751794417268,0.9283720930232559,0.1289,1.0,0.004387546816154891,0.9640640150341366,0.04641860465116279,0.3041,157,,,
BTP196 - Sarakki Main Road,1.2426673913043478,138,12.910996460923245,77.57833824855072,0.9565217391304348,0.2023,1.0,0.005579930244990895,0.8303261727926109,0.04782608695652174,0.2948,158,,,
